package_id,package_name,zip_path,dataset1_source,dataset2_source,input_experts,method_family,generation_command,validation_command,format_check_status,top1_change_vs_121,d1_mad_vs_121,d2_mad_vs_121,local_validation_score_if_any,online_score,online_status,risk_level,submit_priority,notes,created_at,submitted_at
101,101_major_consensus_online_replay_strict,submissions/101_major_consensus_online_replay_strict/result.zip,unknown,consensus_online_replay,"80,89,94,97",pseudo_online_replay,python make_consensus_online_replay_result_zip.py ...,unknown,historical_unknown,unknown,unknown,unknown,unknown,1.2135024872359346,scored,medium,historical_scored,Known online result from project docs; multi-teacher consensus replay effective.,2026-05-28T14:07:02+08:00,unknown
102,102_major_replay_rank_fusion,submissions/102_major_replay_rank_fusion/result.zip,unknown,101 replay plus 97 rank fusion,"101,97",rank_fusion,python blend_rank_consensus.py ...,unknown,historical_unknown,unknown,unknown,unknown,unknown,1.2148036842867738,scored,medium,historical_scored,Known online result from project docs; best before 110.,2026-05-28T14:07:02+08:00,unknown
103,103_major_adaptive_replay_gate_bold,submissions/103_major_adaptive_replay_gate_bold/result.zip,unknown,adaptive_replay_gate_bold,"102,101,replay experts",gated_replay,python blend_adaptive_replay_gate.py ...,unknown,historical_unknown,unknown,unknown,unknown,unknown,1.2144142783655167,scored,medium_high,historical_scored_not_priority,Known online result from project docs; below 102.,2026-05-28T14:07:02+08:00,unknown
104,104_major_adaptive_replay_gate_stable,submissions/104_major_adaptive_replay_gate_stable/result.zip,unknown,adaptive_replay_gate_stable,"102,101,replay experts",gated_replay,python blend_adaptive_replay_gate.py ...,unknown,historical_unknown,unknown,unknown,unknown,unknown,1.2143281923992328,scored,medium,historical_scored_not_priority,Known online result from project docs; below 102.,2026-05-28T14:07:02+08:00,unknown
110,110_major_online_weighted_rank_ensemble,submissions/110_major_online_weighted_rank_ensemble/result.zip,online_weighted_rank_ensemble,online_weighted_rank_ensemble,"89,94,97,101,102",online_feedback_rank_ensemble,python blend_online_score_rank_ensemble.py ...,unknown,historical_unknown,unknown,unknown,unknown,unknown,1.2151966152453952,scored,medium,historical_scored,Known online result from project docs; anchor before 121.,2026-05-28T14:07:02+08:00,unknown
111,111_major_online_weighted_rank_ensemble_scaled,submissions/111_major_online_weighted_rank_ensemble_scaled/result.zip,online_weighted_rank_ensemble_scaled,online_weighted_rank_ensemble_scaled,"89,94,97,101,102",online_feedback_rank_ensemble_scaled,python blend_online_score_rank_ensemble.py ... --preserve-base-scale ...,unknown,historical_unknown,unknown,unknown,unknown,unknown,1.2151332588531099,scored,medium,historical_scored_not_priority,Known online result from project docs; slightly below 110.,2026-05-28T14:07:02+08:00,unknown
121,121_major_teacher110_multi_replay_ensemble_repack_checked,submissions/121_major_teacher110_multi_replay_ensemble_repack_checked/result.zip,121 teacher110 multi replay ensemble,121 teacher110 multi replay ensemble,"110,119,112,102,101",teacher110_multi_replay_ensemble,python blend_online_score_rank_ensemble.py --base-dir outputs/website_submission_110_major_online_weighted_rank_ensemble --expert-dirs outputs/website_submission_110_major_online_weighted_rank_ensemble outputs/website_submission_119_major_teacher110_online_replay outputs/website_submission_112_major_more_replay_rank_ensemble outputs/website_submission_102_major_replay_rank_fusion outputs/website_submission_101_major_consensus_replay_strict --weights 0.48 0.24 0.12 0.10 0.06 --output-dir outputs/website_submission_121_major_teacher110_multi_replay_ensemble --preserve-base-scale 0.0 --chunksize 4096,python validate_result_zip.py --zip submissions/121_major_teacher110_multi_replay_ensemble_repack_checked/result.zip,"valid; dataset1=(61051,100); dataset2=(153420,100)",0,0,0,unknown,1.2156836736721401,scored_best_known,low,conservative_fallback,Current known best and safe fallback package.,2026-05-28T14:07:02+08:00,unknown
122,122_major_lgbm_lambdarank_expert_repack_checked,submissions/122_major_lgbm_lambdarank_expert_repack_checked/result.zip,121 baseline dataset1,pure LGBM LambdaRank expert,LGBM split0 internal ranker,pure_lgbm_lambdarank_expert,python make_lgbm_result_zip.py ... pure lgbm expert,python validate_result_zip.py --zip submissions/122_major_lgbm_lambdarank_expert_repack_checked/result.zip,"valid; dataset1=(61051,100); dataset2=(153420,100)",0.729142,unknown,unknown,unknown,unknown,unknown,extreme,hold_do_not_submit_now,Pure LGBM expert exploration; highest risk; do not submit before 125 feedback.,2026-05-28T14:07:02+08:00,unknown
123,123_major_lgbm45_replay_fusion_repack_checked,submissions/123_major_lgbm45_replay_fusion_repack_checked/result.zip,121 baseline dataset1,45 percent LGBM replay fusion,"121,LGBM split0 internal ranker",lgbm_replay_fusion,python make_lgbm_result_zip.py ... lgbm45 replay fusion,python validate_result_zip.py --zip submissions/123_major_lgbm45_replay_fusion_repack_checked/result.zip,"valid; dataset1=(61051,100); dataset2=(153420,100)",0.475649,unknown,unknown,unknown,unknown,unknown,high,hold_do_not_submit_now,Aggressive exploration package; wait for 125 feedback.,2026-05-28T14:07:02+08:00,unknown
124,124_major_lgbm65_replay_fusion_repack_checked,submissions/124_major_lgbm65_replay_fusion_repack_checked/result.zip,121 baseline dataset1,65 percent LGBM replay fusion,"121,LGBM split0 internal ranker",lgbm_replay_fusion,python make_lgbm_result_zip.py ... lgbm65 replay fusion,python validate_result_zip.py --zip submissions/124_major_lgbm65_replay_fusion_repack_checked/result.zip,"valid; dataset1=(61051,100); dataset2=(153420,100)",0.606746,unknown,unknown,unknown,unknown,unknown,very_high,hold_do_not_submit_now,More aggressive LGBM package; do not submit before 125 feedback.,2026-05-28T14:07:02+08:00,unknown
